Title,Body,Labels,Milestone
Initialize Next.js project,Set up Next.js 15 + TypeScript + TailwindCSS.,bootstrap;frontend,Milestone 0
Create project folder structure,"Add /src, /docs, /app/api, and placeholders.",bootstrap;infrastructure,Milestone 0
Add Zustand or Jotai,Install and configure global state store.,state;frontend,Milestone 0
Add .cursorrules and docs,"Add PRD.md, API_SPEC.md, SCHEMA.md, CONTEXT.md.",docs;project,Milestone 0
Build piano roll layout,Render 2–3 octave piano roll.,frontend;piano-roll,Milestone 1
Implement note mapping,Map pitch → Y coordinate.,frontend;piano-roll,Milestone 1
Highlight notes API,Expose highlightNotes(notes[]).,frontend;piano-roll,Milestone 1
Add piano roll animations,Add note-on/off animation.,frontend;piano-roll,Milestone 1
Add octave selector,UI toggle for octave range.,frontend;piano-roll,Milestone 1
Implement major scale generator,Pure function: major scale from root.,backend;theory,Milestone 2
Implement minor scale generator,Pure function: natural minor scale.,backend;theory,Milestone 2
Implement triad generator,Major/minor triads from root.,backend;theory,Milestone 2
Implement diatonic chords,Generate I–vi triads for a key.,backend;theory,Milestone 2
Implement 7th chord generator,"maj7, min7, dom7.",backend;theory,Milestone 2
Theory unit tests,Add comprehensive tests.,backend;theory,Milestone 2
Create flashcard UI,Front/back with animation.,frontend;flashcards,Milestone 3
Add flashcard formats,"MCQ, interactive, drag/tap.",frontend;flashcards,Milestone 3
Flashcard flipping animation,Smooth rotate animation.,frontend;flashcards,Milestone 3
Store card templates,Add to database per SCHEMA.md.,backend;flashcards,Milestone 3
API /cards/next,Implement API for pulling next deck.,backend;flashcards;SRS,Milestone 3
API /cards/:id/answer,Store attempts + update SRS.,backend;flashcards;SRS,Milestone 3
Implement SM-2,"Add ease factor, interval logic.",backend;SRS,Milestone 4
SRS fields in DB,"Add dueAt, easeFactor, intervalDays.",backend;SRS,Milestone 4
Daily review scheduler,Build deck per SM-2 rules.,backend;SRS,Milestone 4
Confidence rating UI,Again/Hard/Good/Easy buttons.,frontend;SRS,Milestone 4
Daily review page,Flashcard-based review.,frontend;SRS,Milestone 4
Build Circle of Fifths layout,SVG ring with 12 slices.,frontend;circle-of-fifths,Milestone 5
Circle animations,Animate rotation and highlights.,frontend;circle-of-fifths,Milestone 5
Unlock wedges system,Anchors → sharps → flats → minors.,frontend;circle-of-fifths,Milestone 5
Click key → update piano roll,Tie circle to piano roll.,frontend;circle-of-fifths,Milestone 5
Highlight IV/V neighbors,Show harmonic neighbors.,frontend;circle-of-fifths,Milestone 5
Circle flashcards,Add geometry/function flashcards.,frontend;flashcards;circle-of-fifths,Milestone 5
Milestone state machine,Track milestone unlocks.,backend;progress,Milestone 6
Milestone progress tracking,"Store %, update on card success.",backend;progress,Milestone 6
Lock/unlock content,Release flashcards as mastery grows.,backend;progress,Milestone 6
Free exploration mode,Add toggle in settings.,frontend;settings,Milestone 6
Circle slice quiz,Tap the correct slice.,frontend;quiz,Milestone 7
Build-a-key quiz,Toggle sharps/flats to build key.,frontend;quiz,Milestone 7
Notes→Chord quiz,Use piano roll input mode.,frontend;quiz;piano-roll,Milestone 7
Blank Circle Boss Challenge,Drag keys into correct spots.,frontend;quiz,Milestone 7
Mastery wheel heatmap,Color-coded circle view.,frontend;analytics,Milestone 8
Accuracy charts,Line chart of accuracy over time.,frontend;analytics,Milestone 8
Recall speed charts,Track ms-to-answer trend.,frontend;analytics,Milestone 8
Due/overdue list,Show items due today.,frontend;analytics,Milestone 8
Streak tracking,Days practiced in a row.,frontend;analytics,Milestone 8
Modes module,Add Dorian/Mixo/Phrygian.,frontend;advanced,Milestone 9
Diminished/augmented module,Add advanced chords.,fr,